State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Zeeraga Samba Rawrice,12/07/01,1150,1250,1200
Maharashtra,Kolhapur,Kolhapur,Rice,Pusa Basmati Raw (New),06/14/01,2200,2300,2250
Maharashtra,Kolhapur,Kolhapur,Rice,Pusa Basmati Raw (Old),06/14/01,2000,2050,2025
Maharashtra,Kolhapur,Kolhapur,Rice,Pusa Basmati Sela (Old),06/14/01,1850,1950,1900
Maharashtra,Kolhapur,Kolhapur,Rice,Sona Mansoori Non Basmati,06/14/01,1200,1250,1225
Maharashtra,Mumbai,Mumbai,Rice,Basmati Charmi,06/02/01,2500,2950,2725
Maharashtra,Mumbai,Mumbai,Rice,Basmati Charmi,06/04/01,2500,2900,2700
Maharashtra,Mumbai,Mumbai,Rice,Basmati Golden Sela New,07/10/01,2500,2900,2700
Maharashtra,Mumbai,Mumbai,Rice,Basmati Paddy,07/11/01,2500,2900,2700
Maharashtra,Mumbai,Mumbai,Rice,IR-8,07/17/01,950,1325,1125
Maharashtra,Mumbai,Mumbai,Rice,Kolam-Non Basmati,06/02/01,2000,2500,2250
Maharashtra,Mumbai,Mumbai,Rice,Kolam-Non Basmati,06/04/01,2000,2500,2250
Maharashtra,Mumbai,Mumbai,Rice,Kolam-Non Basmati,07/17/01,2200,2500,2350
Maharashtra,Mumbai,Mumbai,Rice,Masoori-Non Basmti,07/17/01,1000,1150,1075
Maharashtra,Mumbai,Mumbai,Rice,Masuri,06/02/01,1750,1850,1800
Maharashtra,Mumbai,Mumbai,Rice,Masuri,06/04/01,1000,1150,1075
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,05/26/01,1100,1350,1225
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/02/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/05/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/07/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/08/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/09/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/11/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/13/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/14/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/18/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/19/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/20/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/21/01,1200,1400,1300
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/29/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,06/30/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/03/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/04/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/05/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/06/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/07/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/09/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/10/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/11/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/12/01,1150,1400,1275
Maharashtra,Nagpur,Nagpur,Rice,Hmt Rice-Non Basmati,07/13/01,1150,1400,1275
